Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
ARCHS4_Tissues,CORD BLOOD,153/2316,1.3084909056512549e-21,1.4131701781033551e-19,0,0,2.7028332784903943,129.9668530071497,SPI1;CSF3R;IFITM2;GMFG;NCF4;LST1;IKZF1;NR3C1;SAT1;PYCARD;DOCK11;RASSF2;LGALS1;FCGRT;RASSF5;MYB;RPS6KA1;ARHGDIB;AP1S2;TBC1D10C;COTL1;OSTF1;SLC12A6;TMSB10;MBNL1;PRKCB;FNBP1;ACTN1;HLA-C;CYBA;PRSS57;DOK2;RAB31;TYROBP;DOK3;NINJ2;PSME1;PRTN3;WDFY2;SLC27A2;SKAP2;CFD;PXK;IQGAP1;IQGAP2;RASGRP2;STK4;CORO1A;ZFP36L2;TRGC1;INPP5D;NCKAP1L;S100A11;PRG2;IRF2BP2;NKG7;LYZ;NAT6;PTPRC;FES;TPP1;ARHGAP9;DAZAP2;ITGAM;MS4A3;ADPGK;ARPC1B;HEXB;ITGB2;PLEK;PIK3CD;SNX10;LRMP;PTPN22;DBI;LITAF;PIK3CG;CTSS;LIMD2;SPN;ADGRE5;CNTRL;HYAL3;TMEM107;MFSD1;SH3BGRL3;CD37;TNFAIP8L2;CYTIP;GPSM3;CD53;ACTR2;CD52;SERPINB1;MANBA;RNASET2;TSC22D3;TET2;RHOG;PLAUR;COMMD6;ETV6;VAMP8;DNAJC4;CAT;HCLS1;LCP2;CD48;LCP1;CD302;DOCK2;ARHGEF6;RGS18;CCDC189;GRN;SELPLG;RGS19;PLPPR3;CEBPE;WAS;ABRACL;GLRX;HSD17B11;SAMHD1;AIF1;SH3BGRL;CREG1;SUSD3;PTK2B;CD58;RELT;CD55;MAP3K1;PDE6G;LAPTM5;APOBR;ANXA2R;DEF6;PSMB9;FMNL1;THEMIS2;STK17B;LPCAT2;PTPN6;CLC;PLP2;PTPN7;VIM;YPEL5;EVI2B;PIK3AP1;MYO1F;MSRB1
ARCHS4_Tissues,DENDRITIC CELL,152/2316,3.546136200381559e-21,1.9149135482060416e-19,0,0,2.677833575973697,126.09497443898292,SPI1;IFITM2;WIPF1;GMFG;NCF4;LST1;JMJD1C;IKZF1;NR3C1;SAT1;MILR1;PYCARD;DOCK11;RASSF2;LGALS1;FCGRT;DPYSL2;RASSF5;RPS6KA1;ARHGDIB;AP1S2;COTL1;OSTF1;TMSB10;IL13RA1;MBNL1;PRKCB;FNBP1;HLA-C;CYBA;HLA-E;ACAP2;DOK2;RAB31;TYROBP;PSME1;TXNIP;PRTN3;SKAP2;NOTCH2;IQGAP1;STK4;CORO1A;CNN2;TMEM243;PPCS;INPP5D;NCKAP1L;S100A11;IDH2;PRG2;NFATC2;ARPC5;LYZ;PTPRC;FES;TPP1;COL9A2;ARHGAP9;DENND1B;DAZAP2;TNFAIP8;ITGAM;ADPGK;ARPC1B;HEXB;ITGB2;PLEK;TNFAIP2;SNX10;LRMP;PTPN22;DBI;LITAF;PIK3CG;CTSS;AFF1;LIMD2;TMSB4X;CNTRL;EFHD2;MFSD1;SH3BGRL3;CD37;TNFAIP8L2;CYTIP;GPSM3;CD53;ACTR2;CD52;SERPINB1;IFNGR1;RNASET2;VPS13C;TSC22D3;TET2;RHOG;COMMD6;NBPF14;ETV6;VAMP8;DNAJC4;CAT;HCLS1;PLEKHO1;LCP2;CD48;LCP1;CD302;DOCK2;ARHGEF6;RGS18;TMEM55A;GRN;SELPLG;RGS19;PON2;WAS;ABRACL;GLRX;HSD17B11;CBL;SAMHD1;ASCL2;AIF1;SH3BGRL;CHN2;CREG1;SUSD3;CD58;CD55;GSN;MAP3K1;PDE6G;LAPTM5;APOBR;DEF6;CPPED1;PSMB9;FCGR2A;TAOK3;THEMIS2;STK17B;PTPN6;PLP2;TRIM38;VIM;YPEL5;EVI2B;PIK3AP1;CD68;MYO1F
ARCHS4_Tissues,NEUTROPHIL,151/2316,9.522452326205701e-21,3.428082837434052e-19,0,0,2.652963818321786,122.30331543617264,SPI1;CSF3R;IFITM2;WIPF1;CEP19;NCF4;LST1;IKZF1;SAT1;DOCK11;RASSF2;RASSF3;RASSF5;RPS6KA1;C1RL;TNFSF10;TBC1D10C;SIRPA;SLC12A6;SLC16A3;IL13RA1;SLC12A9;MYLIP;ARL11;G6PD;PRKCB;ACSL1;ARID5A;HLA-C;UNC13D;MOB3A;HLA-E;TYROBP;DOK3;NINJ2;NINJ1;MYADM;SKAP2;CFD;KCNE3;HVCN1;CCL3L3;ERV3-1;TRANK1;RASGRP2;CORO1A;RASGRP4;INPP5D;OR2B6;FAM229A;FUZ;SSH2;ARHGAP25;EHD1;PTPRC;ATG16L2;AGO4;FES;COL9A2;LRCH4;LRP10;NFKBIE;RGL2;ARHGAP9;BTG2;ITGAM;MS4A3;USP32;ITGB2;PLEK;ATP2A3;TNFAIP2;PIK3CD;SNX10;LRMP;PTPN22;PTPRJ;PYGL;KIAA1551;LITAF;PPP1R18;PIK3CG;CTSS;ADGRE2;ADGRE5;EFHD2;TNFAIP8L2;CYTIP;CTBS;GPSM3;CD53;TSC22D4;ANXA3;RNASET2;PLAUR;HIST2H2BE;VAV1;IL17RA;ELF4;IRF1;HCLS1;ZNF117;LCP2;CD48;PLEKHO2;LCP1;CD302;LTB;SGK1;DOCK2;RGS18;CCDC189;TMEM55A;CEBPA;SELPLG;RGS19;CEBPE;ZBTB48;WAS;PROCA1;ASCL2;AIF1;TMEM164;RAB20;ZDHHC19;SUSD3;CD58;TP53I11;RELT;CD55;RNF24;MBOAT7;LAPTM5;STAC3;APOBR;DEF6;CPPED1;TMEM154;FMNL1;LRG1;FCGR2A;THEMIS2;RNF149;LPCAT2;PTPN6;CLC;EVI2B;PIK3AP1;YPEL3;MYO1F;MSRB1
ARCHS4_Tissues,CD34+ CELL,140/2316,2.6896583477852333e-16,7.262077539020128e-15,0,0,2.3877250253549698,85.60459180126442,CD84;SPI1;CSF3R;IFITM2;ACSM3;WIPF1;GMFG;NCF4;LST1;ICAM4;IKZF1;TM7SF3;PYCARD;MYB;RPS6KA1;ARHGDIB;PIM1;TBC1D10C;ARL6IP5;MBNL1;PRKCB;FNBP1;ECH1;ARID5A;HLA-C;CYBA;PRSS57;DGKZ;UNC13D;RUNX1;HLA-E;ACAP1;DOK3;ORAI3;PSME1;SERPING1;TXNIP;PRTN3;SLC27A2;SKAP2;GPR85;IQGAP2;RASGRP2;CORO1A;ZFP36L2;PPCS;INPP5D;NCKAP1L;ZBTB16;IDH2;ERLIN1;PRG2;MSN;ARHGAP25;NAT6;PTPRC;FES;TPP1;ITM2B;ARHGAP9;DAZAP2;MS4A3;CITED2;ARPC1B;ITGB2;PLEK;ATP2A3;SLC40A1;LRMP;RCSD1;PIK3CG;AFF1;LIMD2;SPN;CNTRL;MFSD1;SH3BGRL3;CD37;TNFAIP8L2;GPSM3;CD53;CD52;TSC22D4;SERPINB1;RNASET2;TSC22D3;NCOA4;MKL1;RHOG;COMMD6;TNFRSF1A;TAPBP;ETV6;VAMP8;ZEB2;RILPL2;DDAH2;DNAJC4;CAT;HCLS1;PLIN3;LCP2;LCP1;DOCK2;ARHGEF6;SDCCAG8;RGS18;CCDC189;CEBPA;SELPLG;RGS19;WAS;ABRACL;HSD17B11;AIF1;FAM117A;GNAI2;SH3BGRL;CREG1;PTK2B;RNF130;PDE6G;MBOAT7;LAPTM5;MAPK14;DEF6;PNRC1;PSMB9;CCS;TAOK3;LPCAT2;MSRB2;PTPN6;CLC;PTPN7;P4HB;EVI2B;PIK3AP1;YPEL3;NUCB2
ARCHS4_Tissues,PERIPHERAL BLOOD,134/2316,4.4178681765710985e-14,9.542595261393574e-13,0,0,2.249230649218948,69.16504363175551,SPI1;CSF3R;WIPF1;NCF4;LST1;IKZF1;IKZF2;DOCK11;RASSF2;RASSF3;RASSF5;RPS6KA1;ARHGDIB;PIM1;TNFSF10;TBC1D10C;SIRPA;MYLIP;ARL11;PRKCB;ACSL1;ARID5A;HLA-C;CYBA;UNC13D;HLA-E;DOK2;TYROBP;DOK3;NINJ2;TXNIP;CFD;KCNE3;HVCN1;TRANK1;RASGRP2;CORO1A;RASGRP4;TRGC1;BCL2L11;INPP5D;NCKAP1L;HIST1H3H;OR2B6;NFATC2;FAM229A;NKG7;LYZ;ARHGAP25;EHD1;PTPRC;ATG16L2;AGO4;FES;COL9A2;NFKBIE;ARHGAP9;ITGAM;MS4A3;ITGB2;PLEK;ATP2A3;TNFAIP2;PIK3CD;SNX10;LRMP;PTPN22;PTPRJ;KIAA1551;LITAF;PPP1R18;PIK3CG;CTSS;LIMD2;ADGRE2;ADGRE5;EFHD2;TNFAIP8L2;CYTIP;GPSM3;DENND2D;CD53;CD52;TSC22D4;KLF13;RNASET2;VAV1;IL17RA;DUSP22;ELF4;HCLS1;LCP2;CD48;PLEKHO2;LCP1;CD302;LTB;DOCK2;RGS18;CEBPA;SELPLG;RGS19;CEBPE;WAS;PROCA1;SAMHD1;ASCL2;TMEM164;RAB20;ZDHHC19;SUSD3;PTK2B;RELT;CYTH1;MAP3K1;SUSD1;LAPTM5;STAC3;APOBR;ANXA2R;DEF6;TMEM154;SPSB2;FMNL1;FCGR2A;XK;THEMIS2;PTPN6;CLC;EVI2B;PIK3AP1;YPEL3;MYO1F;MSRB1
ARCHS4_Tissues,NATURAL KILLER CELLS,129/2316,2.3621717065702875e-12,4.2519090718265176e-11,0,0,2.136992274925998,57.21035983904535,IFI27L2;TES;IFITM2;WIPF1;GMFG;LST1;IKZF1;IKZF2;PYCARD;LGALS1;RINL;RASSF5;RPS6KA1;ARHGDIB;PIM1;TBC1D10C;OSTF1;SLC16A3;TMSB10;G6PD;CCDC159;ARID5A;HLA-C;DGKZ;UNC13D;MOB3A;HLA-E;DOK2;ACAP1;TYROBP;NINJ2;ORAI3;PSME1;MT1F;TCTA;MAD1L1;HVCN1;CCL3L3;TRANK1;SDSL;RASGRP2;CORO1A;TRGC1;BCL2L11;INPP5D;NCKAP1L;HIST1H3H;ZBTB16;NFATC2;NKG7;FUZ;ARHGAP25;EHD1;NAT6;PTPRC;FES;PYROXD2;NFKBIE;ARHGAP9;COLGALT2;ITGAM;ITGB2;PLEK;ATP2A3;PIK3CD;LRMP;PTPN22;PTPRJ;RCSD1;LITAF;PPP1R18;PIK3CG;LIMD2;SPN;ADGRE5;TMSB4X;TMEM107;EFHD2;SH3BGRL3;CD37;TNFAIP8L2;CYTIP;GPSM3;DENND2D;CD53;CD52;TSC22D4;RHOG;VAV1;TAPBP;VAMP8;TST;ELF4;IRF1;DNAJC4;HCLS1;LCP2;CD48;PLEKHO2;LCP1;LTB;DOCK2;RGS18;SELPLG;RGS19;ZBTB48;WAS;ASCL2;USP18;PTK2B;CD58;CYTH1;USP20;PDE6G;LAPTM5;APOBR;ANXA2R;DEF6;PSMB9;SPSB2;FMNL1;THEMIS2;YPEL1;PTPN6;PTPN7;EVI2B;PIK3AP1;MYO1F;MSRB1
ARCHS4_Tissues,GRANULOCYTE,127/2316,1.0811118214271622e-11,1.6680010959161928e-10,0,0,2.0928819818551494,52.84620356567429,SPI1;CSF3R;WIPF1;CEP19;NCF4;LST1;IKZF1;DOCK11;RASSF2;RASSF3;RASSF5;RPS6KA1;C1RL;TNFSF10;TBC1D10C;SIRPA;SLC12A6;SLC16A3;IL13RA1;MYLIP;ARL11;PRKCB;ACSL1;ARID5A;UNC13D;DOK2;TYROBP;DOK3;NINJ2;CFD;KCNE3;HVCN1;CCL3L3;ERV3-1;TRANK1;RASGRP2;CORO1A;RASGRP4;HIST1H3H;OR2B6;DSCR8;FAM229A;SSH2;ARHGAP25;PTPRC;ATG16L2;AGO4;FES;COL9A2;ARHGAP9;ITGAM;MS4A3;USP32;ITGB2;PLEK;TNFAIP2;PIK3CD;SNX10;LRMP;PTPN22;PTPRJ;PYGL;KIAA1551;PIK3CG;CTSS;ADGRE2;ADGRE5;EFHD2;TNFAIP8L2;CYTIP;CTBS;GPSM3;CD53;APAF1;ANXA3;TET2;HIST2H2BE;VAV1;IL17RA;ELF4;IRF1;IRF2;HCLS1;LCP2;CD48;PLEKHO2;LCP1;CD302;LTB;DOCK2;SOS2;RGS18;CCDC189;TMEM55A;CEBPA;SELPLG;RGS19;CEBPE;ZBTB48;WAS;ASCL2;TMEM164;RAB20;ZDHHC19;RICTOR;CD58;RELT;MAP3K1;APOBR;ANXA2R;DEF6;CPPED1;TMEM154;FMNL1;LRG1;FCGR2A;THEMIS2;RNF149;STK17B;LPCAT2;PTPN6;CLC;EVI2B;PIK3AP1;YPEL3;MYO1F;MSRB1
ARCHS4_Tissues,BLOOD DENDRITIC CELLS,125/2316,4.7495058953356696e-11,6.411832958703152e-10,0,0,2.049211568677709,48.71056931198101,SPI1;IFITM2;GMFG;LST1;JMJD1C;IKZF1;SAT1;MILR1;PYCARD;RASSF2;LGALS1;FCGRT;DPYSL2;RASSF5;ARHGDIB;AP1S2;COTL1;OSTF1;TMSB10;IL13RA1;MBNL1;PRKCB;HLA-C;CYBA;ACAP2;RAB31;TYROBP;PSME1;TXNIP;PRTN3;SKAP2;NOTCH2;IQGAP1;STK4;CORO1A;CNN2;TMEM243;PPCS;INPP5D;NCKAP1L;S100A11;IDH2;ARPC5;LYZ;PTPRC;FES;TPP1;DENND1B;DAZAP2;TNFAIP8;ARPC1B;HEXB;ITGB2;PLEK;TNFAIP2;SNX10;LRMP;PTPN22;DBI;PIK3CG;CTSS;LIMD2;TMSB4X;CNTRL;MFSD1;SH3BGRL3;CD37;CYTIP;GPSM3;SMIM14;CD53;ACTR2;CD52;SERPINB1;IFNGR1;RNASET2;VPS13C;TSC22D3;NCOA4;TET2;RHOG;COMMD6;NBPF14;ETV6;VAMP8;DNAJC4;CAT;HCLS1;LCP2;CD48;LCP1;CD302;DOCK2;ARHGEF6;RGS18;TMEM55A;GRN;SELPLG;RGS19;PON2;ABRACL;GLRX;HSD17B11;SAMHD1;AIF1;SH3BGRL;CHN2;SUSD3;CD58;CD55;MAP3K1;LAPTM5;CPPED1;PSMB9;FCGR2A;TAOK3;THEMIS2;STK17B;PTPN6;PLP2;TRIM38;VIM;YPEL5;EVI2B;MYO1F
ARCHS4_Tissues,MACROPHAGE,122/2316,4.0466674111899583e-10,4.85600089342795e-09,0,0,1.9845183204287815,42.92107739407687,CD84;SPI1;FAM89A;NCF4;LST1;ICAM4;SAT1;PVR;MILR1;LACTB;LGALS1;FCGRT;RASSF5;RPS6KA1;SIRPA;SLC16A3;IL13RA1;G6PD;ACSL1;ARID5A;CYBA;DOK2;RAB31;TYROBP;DOK3;NINJ2;NINJ1;MT1F;MAD1L1;CFD;SDC2;CCL3L3;SDSL;NPAS1;PLD3;HESX1;NCKAP1L;PLTP;S100A11;PRG2;FAM229A;LYZ;ARHGAP25;EHD1;FES;NFKBIE;TNFAIP8;ITGAM;HEXB;ITGB2;PLEK;TNFAIP2;SNX10;PTPRJ;LITAF;PPP1R18;CTSS;MRC2;SCPEP1;ADGRE2;HYAL3;EFHD2;MFSD1;TNFAIP8L2;CYTIP;GPSM3;DENND2D;CD53;RNASET2;RHOG;PLAUR;VAV1;MRAS;TNNT1;ELF4;HCLS1;PLEKHO1;LCP2;CD48;PLEKHO2;LCP1;ARHGEF2;DOCK2;CCDC189;CEBPA;GRN;SELPLG;RGS19;PLPPR3;CEBPE;ZBTB48;WAS;ASCL2;AIF1;USP18;RAB20;ZDHHC19;CREG1;CD58;RELT;PDLIM4;CYTH1;GSN;IL10RB;PDE6G;SUSD1;LAPTM5;STAC3;APOBR;SLC8B1;DEF6;SPSB2;MAPK11;FMNL1;FCGR2A;THEMIS2;PTPN6;VIM;EVI2B;PIK3AP1;CD68;MYO1F
ARCHS4_Tissues,BONE MARROW (BULK TISSUE),114/2316,7.694719301212593e-08,8.310296845309599e-07,0,0,1.8166379358282825,29.75679544530626,CD84;SPI1;CSF3R;IFITM2;ACSM3;WIPF1;GMFG;NCF4;LST1;ICAM4;IKZF1;TM7SF3;PYCARD;RPS6KA5;MYB;ARHGDIB;TBC1D10C;ARL6IP5;ZNF688;MBNL1;PRKCB;FNBP1;ECH1;HLA-C;CYBA;PRSS57;UNC13D;RUNX1;HLA-E;ACAP1;DOK3;ORAI2;PSME1;SERPING1;TXNIP;PRTN3;SKAP2;IQGAP2;RASGRP2;CORO1A;ZFP36L2;INPP5D;NCKAP1L;ANKRD28;IDH2;PRG2;MSN;ARHGAP25;PTPRC;FES;TPP1;ARHGAP9;DAZAP2;MS4A3;ARPC1B;PLEK;ATP2A3;SLC40A1;LRMP;RCSD1;LIMD2;SPN;TMSB4X;CNTRL;MFSD1;SH3BGRL3;CD37;GPSM3;CD53;CD52;SERPINB1;RNASET2;TSC22D3;NCOA4;COMMD6;TAPBP;ETV6;VAMP8;ZEB2;RILPL2;DDAH2;IRF1;CAT;HCLS1;LCP2;SGK3;LCP1;DOCK2;ARHGEF6;SDCCAG8;RGS18;SP100;PPM1N;ABRACL;HSD17B11;AIF1;FAM117A;SH3BGRL;CREG1;RNF130;PDE6G;MBOAT7;LAPTM5;DEF6;PNRC1;PSMB9;KLF6;TAOK3;STK17B;LPCAT2;PTPN6;PTPN7;EVI2B;NUCB2
ARCHS4_Tissues,CD4+ T CELL,102/2316,5.391682172512179e-05,0.0004852513955260961,0,0,1.576857880132586,15.497466531197464,CD84;TES;WIPF1;GMFG;NCF4;IKZF1;IKZF2;RINL;RASSF5;RPS6KA1;ARHGDIB;TNFSF10;TBC1D10C;ARL6IP5;OSTF1;MYLIP;PRKCB;ARID5A;HLA-E;DOK2;BIN3;ACAP1;NINJ2;MT1F;TXNIP;CCL3L3;ITPR1;TRANK1;STK4;CORO1A;ZFP36L2;TMEM243;TRGC1;RNF213;PPCS;INPP5D;NCKAP1L;NFATC2;RAB27A;NKG7;ARHGAP25;NAT6;PTPRC;ARHGAP9;DENND1B;DAZAP2;BTG2;TNFAIP8;BTG1;ITGB2;LRMP;PTPN22;KIAA1551;PIK3CG;ADGRE5;CD37;TNFAIP8L2;CYTIP;GPSM3;DENND2D;CD53;CD52;TSC22D3;RBL2;ELF4;IRF2;HCLS1;LCP2;CD48;LCP1;LTB;DOCK2;ARHGEF6;SP100;SELPLG;RGS19;WAS;ABRACL;SAMHD1;TOB1;USP18;SUSD3;PTK2B;CD58;CYTH1;MAP3K1;USP20;LAPTM5;ANXA2R;DEF6;TMEM154;PSMB9;SPSB2;KLF6;MGAT4A;STK17B;PTPN6;GALM;PLP2;PTPN7;EVI2B;MYO1F
ARCHS4_Tissues,SPLEEN (BULK TISSUE),102/2316,5.391682172512179e-05,0.0004852513955260961,0,0,1.576857880132586,15.497466531197464,SPI1;WIPF1;FAM89A;NCF4;IKZF1;FCGRT;RASSF5;RPS6KA1;C1RL;TBC1D10C;PRKCB;IGFBP4;IGFBP2;ARID5A;CYBA;UNC13D;DOK2;ACAP1;TYROBP;DOK3;SERPING1;PRTN3;MYL9;CFH;EPAS1;HVCN1;TRANK1;RASGRP2;CORO1A;MARC2;INPP5D;NCKAP1L;HIST1H3H;PRG2;NFATC2;NKG7;ARHGAP25;EHD1;PTPRC;ATG16L2;FES;LRCH4;NFKBIE;RGL2;ARHGAP9;ITGAM;ITGB2;PLEK;ATP2A3;SLC40A1;PIK3CD;LRMP;PTPN22;PTPRJ;RCSD1;PIK3CG;CTSS;MRC2;ADGRE5;TNFAIP8L2;CYTIP;GPSM3;DENND2D;CD53;RNASET2;VAV1;ELF4;HCLS1;PLEKHO1;LCP2;CD48;PLEKHO2;LCP1;LTB;DOCK2;PLEC;RGS18;SELPLG;RGS19;WAS;AIF1;RAB20;ZDHHC19;SUSD3;PTK2B;TP53I11;RELT;MAP3K1;PLEKHA2;PDE6G;STAC3;APOBR;ANXA2R;DEF6;MAPK11;FMNL1;DES;THEMIS2;PTPN6;EVI2B;PIK3AP1;CD68
ARCHS4_Tissues,ALVEOLAR MACROPHAGE,95/2316,0.0011463316508364,0.0095233706377182,0,0,1.4432913544492694,9.77279753839812,DENND1B;SPI1;ITGAM;ALAS1;FAM89A;HEXB;NCF4;ITGB2;PLEK;TNFAIP2;SNX10;PTPN22;PTPRJ;IKZF2;PIK3CG;CTSS;MILR1;SPN;DOCK11;ADGRE5;FCGRT;RASSF5;RPS6KA1;SIRPA;MFSD1;TNFAIP8L2;OSTF1;CYTIP;CTBS;DENND2D;CD53;MANBA;KSR1;ACSL1;MMD;PLAUR;VAV1;RUNX1;ZEB2;DOK2;RAB31;TYROBP;ELF4;GPD2;CD48;PLEKHO2;LCP1;SGK1;DOCK2;RGS18;CEBPA;GRN;SELPLG;KCNE3;SYCP2L;EPAS1;ABHD2;CCL3L3;ITPR1;ITPR2;SAMHD1;USP18;TRGC1;RNF213;RAB20;CREG1;MGAT5;NCKAP1L;HIST1H3H;RELT;GSN;MAP3K1;SORT1;SUSD1;LAPTM5;STAC3;FAM229A;APOBR;LYZ;SLC8B1;SPSB2;KLF6;PTPRC;FCGR2A;XK;THEMIS2;FES;MGAT4A;LPCAT2;CLC;EVI2B;PIK3AP1;CD68;NFKBIE;MSRB1
ARCHS4_Tissues,REGULATORY T CELLS,94/2316,0.0016917823868161,0.0130508926982959,0,0,1.4245742221280953,9.091593707934946,ARHGAP9;BTG2;TES;BTG1;WIPF1;GMFG;NCF4;ITGB2;PTPN22;IKZF1;RCSD1;IKZF2;PPP1R18;PIK3CG;LGALS1;RINL;RASSF3;ADGRE5;TMSB4X;RASSF5;RPS6KA1;HYAL3;ARHGDIB;TNFSF10;TBC1D10C;ARL6IP5;CD37;TNFAIP8L2;OSTF1;CYTIP;GPSM3;DENND2D;CD53;CD52;TSC22D3;RHOG;ARID5A;COMMD6;MOB3A;VAMP8;DOK2;BIN3;ACAP1;ELF4;NINJ2;IRF2;MT1F;TXNIP;HCLS1;LCP2;CD48;LCP1;LTB;DOCK2;SLC27A2;MAD1L1;ARHGEF6;SELPLG;RGS19;WAS;ABRACL;GLRX;SAMHD1;CORO1A;KRCC1;TOB1;USP18;FAM117A;TMEM243;BCL2L11;PPCS;SUSD3;NCKAP1L;HIST1H3H;CD58;MAP3K1;USP20;IL10RB;LAPTM5;NFATC2;ANXA2R;ARHGAP25;DEF6;PSMB9;NAT6;PTPRC;STK17B;ID3;PTPN6;GALM;PLP2;PTPN7;EVI2B;YPEL2
ARCHS4_Tissues,CD19+ B CELLS,87/2316,0.0183883590733985,0.1323961853284692,0,0,1.2960240126415208,5.178960521246077,ARHGAP9;DENND1B;BTG2;CD84;SPI1;FAM13B;NCF4;ITGB2;PLEK;ATP2A3;PIK3CD;LRMP;PTPN22;KIAA1551;IKZF1;RCSD1;IKZF2;PIK3CG;LIMD2;MILR1;AKAP13;DOCK11;RASSF2;RASSF5;RPS6KA1;CNTRL;TMEM107;TBC1D10C;CD37;CYTIP;GPSM3;DENND2D;CD53;MYLIP;ARL11;CD52;MBNL1;PRKCB;VPS13C;HIST2H2BE;VAV1;DUSP22;DOK3;ELF4;HCLS1;CD48;LCP1;LTB;DOCK2;MAD1L1;PXK;RGS19;HVCN1;ITPR1;TRANK1;WAS;ITPR2;RASGRP2;CORO1A;TMEM243;BCL2L11;INPP5D;MGAT5;SUSD3;PTK2B;NCKAP1L;HIST1H3H;RELT;CYTH1;MAP3K1;PLEKHA2;DENND4A;LAPTM5;NFATC2;ANXA2R;LNPEP;SSH2;ARHGAP25;DEF6;TMEM154;PTPRC;DMXL1;STK17B;PTPN6;EVI2B;PIK3AP1;NFKBIE
ARCHS4_Tissues,TLYMPHOCYTE,86/2316,0.0246267346564107,0.1662304589307722,0,0,1.2780061291272051,4.733635850436533,ARHGAP9;DAZAP2;TNFAIP8;TES;BTG1;IFITM2;WIPF1;GMFG;ARPC1B;ITGB2;PIK3CD;PTPN22;IKZF1;LITAF;PPP1R18;PIK3CG;LIMD2;SPN;RASSF3;TMSB4X;RASSF5;ARHGDIB;TNFSF10;TBC1D10C;ARL6IP5;SH3BGRL3;CD37;ZNF688;TNFAIP8L2;OSTF1;CYTIP;TMSB10;GPSM3;DENND2D;CD53;CD52;MBNL1;PRKCB;HLA-C;COMMD6;HLA-E;TAPBP;VAMP8;DOK2;IRF1;PSME1;MT1F;HCLS1;LCP2;CD48;LCP1;LTB;DOCK2;SP100;SELPLG;PPM1N;CCL3L3;GPR85;WAS;ABRACL;STK4;SAMHD1;CORO1A;TOB1;TRGC1;BCL2L11;SUSD3;CD58;S100A11;LAPTM5;NFATC2;RAB27A;NKG7;MSN;ANXA2R;ARPC5;ARHGAP25;DEF6;PSMB9;PTPRC;STK17B;PTPN6;GALM;TRIM38;PTPN7;EVI2B
ARCHS4_Tissues,BLOOD PBMC,83/2316,0.0549701820571956,0.3298210923431739,0,0,1.2244606938497995,3.5521168639082576,TNFAIP8;BTG1;FAM89A;CITED2;PIK3CD;PTPN22;PTPRJ;KIAA1551;IKZF1;IKZF2;TM7SF2;LIMD2;DOCK11;RASSF3;RASSF5;RNPEP;RPS6KA1;PIM1;TBC1D10C;CYTIP;GPSM3;DENND2D;MYLIP;CD52;MMD;RNASET2;TSC22D3;ARID5A;HLA-C;PPP2R5A;CYBA;HIST2H2BE;DUSP22;RBL2;DOK2;ACAP1;PACS1;ELF4;NINJ2;TXNIP;CD48;PLEKHO2;LTB;MAD1L1;PLEC;CEBPA;SELPLG;RGS19;ZBTB48;TRANK1;PROCA1;RASGRP2;ADD3;SAMHD1;CORO1A;TMEM164;TMEM243;TRGC1;BCL2L11;RAB20;SUSD3;PTK2B;HIST1H3H;RELT;CYTH1;MAP3K1;USP20;NFATC2;FAM229A;ANXA2R;SLC8B1;DEF6;EHD1;SPSB2;NAT6;THEMIS2;MGAT4A;STK17B;PYROXD2;LRCH4;NFKBIE;MSRB1;YPEL2
ARCHS4_Tissues,PLASMACYTOID DENDRITIC CELL,83/2316,0.0549701820571956,0.3298210923431739,0,0,1.2244606938497995,3.5521168639082576,DENND1B;SPI1;NCF4;PLEK;PIK3CD;LRMP;PTPN22;PTPRJ;IKZF1;IKZF2;PIK3CG;CTSS;MILR1;SPN;RASSF2;RASSF5;RPS6KA1;TNFSF10;SIRPA;TNFAIP8L2;CA8;CYTIP;GPSM3;CD53;TSC22D4;G6PD;KLF13;IGFBP4;ARID5A;VAV1;TMEM131;DOK2;TYROBP;ELF4;IRF2;HCLS1;PLEKHO1;CD48;LCP1;LTB;DOCK2;NOTCH2;RGS18;CCDC189;SELPLG;SYCP2L;HVCN1;CCL3L3;ITPR1;TRANK1;WAS;PROCA1;SDSL;SAMHD1;ASCL2;CORO1A;USP18;BCL2L11;RPS6KC1;HESX1;PTK2B;NCKAP1L;TP53I11;RELT;SUSD1;STAC3;APOBR;NKG7;ARHGAP25;DEF6;SPSB2;MAPK11;FMNL1;XK;THEMIS2;FES;CLC;PLP2;EVI2B;PIK3AP1;CD68;NFKBIE;MSRB1
